Trained,Tested,Model,Accuracy,Precision,Recall,F1,C-Accuracy,C-Precision,C-Recall,C-F1,F-Accuracy,F-Precision,F-Recall,F-F1,T-Accuracy,T-Precision,T-Recall,T-F1,,,,,,,,,,
Fusar+Mix,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Fusar+Mix,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Fusar,Fusar-ship,Fine-Resnet,67.22,63.21,67.22,57.06,96.22,100,96.22,98.07,0.95,100,0.95,1.88,31.16,100,31.16,47.51,,,,,,,,,,
Fusar,Opensarship,Fine-Resnet,72.55,59.03,72.55,61.8,99.13,100,99.13,99.56,0,0,0,0,0.89,100,0.89,1.77,,,,,,,,,,
Fusar,Mix,Fine-Resnet,70.46,54.9,70.46,59.54,98.45,100,98.45,99.22,0,0,0,0,1.69,100,1.69,3.33,,,,,,,,,,
Fusar+OpenSar,Fusar-ship,Fine-Resnet,67.26,51.65,67.26,54.3,100,100,100,100,0,0,0,0,2.51,100,2.51,4.9,,,,,,,,,,
Fusar+OpenSar,Opensarship,Fine-Resnet,72.04,58.15,72.04,61.64,98.33,100,98.33,99.16,0,0,0,0,1.16,100,1.16,2.3,,,,,,,,,,
Fusar+OpenSar,Mix,Fine-Resnet,70.8,56.27,70.8,59.49,99.06,100,99.06,99.53,0,0,0,0,1.21,100,1.21,2.39,,,,,,,,,,
Fusar+Mix,Fusar-ship,Fine-Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Fusar+Mix,Opensarship,Fine-Resnet,72.57,59.06,72.57,61.68,99.22,100,99.22,99.61,0,0,0,0,0.68,100,0.68,1.36,,,,,,,,,,
Fusar+Mix,Mix,Fine-Resnet,70.89,54.31,70.89,59.27,99.39,100,99.39,99.7,0,0,0,0,0.48,100,0.48,0.96,,,,,,,,,,
Opensar,Fusar-ship,CNN,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Opensarship,CNN,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Mix,CNN,71.18,50.73,71.18,59.24,99.93,100,99.93,99.97,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Fusar-ship,CNN,64.37,45.15,64.37,53.01,95.74,100,95.74,97.83,0,0,0,0,2.01,100,2.01,3.94,,,,,,,,,,
Opensar+Fusar,Opensarship,CNN,65.54,60.12,65.54,62.34,83.86,100,83.86,91.22,0,0,0,0,17.33,100,17.33,29.54,,,,,,,,,,
Opensar+Fusar,Mix,CNN,64.94,55.26,64.94,59.33,86.99,100,86.99,93.04,0,0,0,0,14.98,100,14.98,26.05,,,,,,,,,,
Opensar+Mix,Fusar-ship,CNN,10.03,41.8,10.03,5.26,3.19,100,3.19,6.19,0,0,0,0,100,100,100,100,,,,,,,,,,
Opensar+Mix,Opensarship,CNN,57.63,59.45,57.63,58.38,68.02,100,68.02,80.97,0,0,0,0,31.85,100,31.85,48.31,,,,,,,,,,
Opensar+Mix,Mix,CNN,44.38,55.96,44.38,47.37,50.17,100,50.17,66.82,0,0,0,0,43.48,100,43.48,60.61,,,,,,,,,,
Opensar,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Fusar-ship,VGG,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Opensarship,VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Mix,VGG,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Fusar-ship,Fine-VGG,55.05,45.44,55.05,49.74,81.15,100,81.15,89.59,0,0,0,0,8.04,100,8.04,14.88,,,,,,,,,,
Opensar,Opensarship,Fine-VGG,72.98,54.22,72.98,61.61,100,100,100,100,0.89,100,0.89,1.77,0,0,0,0,,,,,,,,,,
Opensar,Mix,Fine-VGG,68.59,52.4,68.59,59.04,95.89,100,95.89,97.9,0,0,0,0,1.45,100,1.45,2.86,,,,,,,,,,
Opensar+Fusar,Fusar-ship,Fine-VGG,55.09,45.3,55.09,49.67,81.21,100,81.21,89.63,0,0,0,0,8.04,100,8.04,14.88,,,,,,,,,,
